Export,Export
Export Settings,Export Settings
Entity Type,Entity Type
Export File Format,Export File Format
There is no sample file for this entity.,There is no sample file for this entity.
Filter store not selected,Filter store not selected
-- Please Select --,-- Please Select --
Filter Store,Filter Store
Exclude Entity Attributes,Exclude Entity Attributes
Continue,Continue
Import CMS Page,Import CMS Page
Export CMS Page,Export CMS Page
