sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
76253/55ENC,,,,0.9,,,0.9,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,,Yes,1:01.0,"1 to 1.33",,30,murataps_store_view,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76253/55ENC,76253/55ENC,,,0.9,,,0.9,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,,Yes,1:01.0,"1 to 1.33",,30,,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/55C,78253/55C,,,1.5,,,,,,,0.25,,,,1500,,,1,,0.83,Yes,01:01.0,"1 to 1.31",,50,,"Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/55C,,,,1.5,,,,,,,0.25,,,,1500,,,1,,0.83,Yes,01:01.3,"1 to 1.31",,50,murataps_store_view,"Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/55VC,,,,0.6,,,,,,,0.25,,,,4000,,,8,,240,Yes,01:01.4,"1 to 1.33",,28,murataps_store_view,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/55VC,78253/55VC,,,0.6,,,,,,,0.25,,,,4000,,,8,,240,Yes,01:01.4,"1 to 1.33",,28,,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/35VC,,,,0.5,,,,,,,0.25,,,,4000,,,5,,142,Yes,01:02.2,"1 to 2.14",,22,murataps_store_view,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/35VC,78253/35VC,,,0.5,,,,,,,0.25,,,,4000,,,5,,142,Yes,01:02.2,"1 to 2.14",,22,,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/35C,,,,1,,,,,,,0.25,,,,1500,,,1,,0.38,Yes,01:02.3,"1 to 2.27",,35,murataps_store_view,"Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78253/35C,78253/35C,,,1,,,,,,,0.25,,,,1500,,,1,,0.38,Yes,01:02.3,"1 to 2.27",,35,,"Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/1C,,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,49,500,,500,,1.5,,Yes,1:01,,"1 to 1",17.5,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/1C,76601/1C,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,49,500,,500,,1.5,,Yes,1:01,,"1 to 1",17.5,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/2C,,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,22,500,,500,,0.8,,Yes,1:01,,"1 to 1",8.5,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/2C,76601/2C,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,22,500,,500,,0.8,,Yes,1:01,,"1 to 1",8.5,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/3C,,,,0.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,12,500,,500,,0.5,,Yes,1:01,,"1 to 1",5.5,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76601/3C,76601/3C,,,0.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,12,500,,500,,0.5,,Yes,1:01,,"1 to 1",5.5,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78250C,,,,2,,,,,,,0.25,,,,1500,1500,,3,,2,Yes,1:01,"1 to 1",,50,murataps_store_view,"Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78250C,78250C,,,2,,,,,,,0.25,,,,1500,1500,,3,,2,Yes,1:01,"1 to 1",,50,,"Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78250VC,,,,1.8,,,,,,,0.25,,,,4000,4000,,40,,2,Yes,1:01,"1 to 1",,50,murataps_store_view,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78250VC,78250VC,,,1.8,,,,,,,0.25,,,,4000,4000,,40,,2,Yes,1:01,"1 to 1",,50,,"Value for 'isolation_voltage' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'volt_time_product' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/16C,,,,0.84,,,,,,,,,0.25,,1000,,1000,,0.84,,Yes,1:01,,"1 to 1",28,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/16C,78601/16C,,,0.84,,,,,,,,,0.25,,1000,,1000,,0.84,,Yes,1:01,,"1 to 1",28,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/1C,,,,0.6,,,,,,,,,0.25,,1000,,1000,,0.6,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/1C,78601/1C,,,0.6,,,,,,,,,0.25,,1000,,1000,,0.6,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/2C,,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/2C,78601/2C,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/3C,,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/3C,78601/3C,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/4C,,,,0.17,,,,,,,,,0.25,,1000,,1000,,0.17,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/4C,78601/4C,,,0.17,,,,,,,,,0.25,,1000,,1000,,0.17,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/8C,,,,0.45,,,,,,,,,0.25,,1000,,1000,,0.45,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/8C,78601/8C,,,0.45,,,,,,,,,0.25,,1000,,1000,,0.45,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/9C,,,,1.3,,,,,,,,,0.25,,1000,,1000,,1.3,,Yes,1:01,,"1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78601/9C,78601/9C,,,1.3,,,,,,,,,0.25,,1000,,1000,,1.3,,Yes,1:01,,"1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA101C,,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.26,,1.00-2.06,Yes,1:01,"1 to 1",,15,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA101C,DA101C,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.26,,1.00-2.06,Yes,1:01,"1 to 1",,15,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA102C,,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.39,,2.00-3.90,Yes,1:01,"1 to 1",,20,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA102C,DA102C,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.39,,2.00-3.90,Yes,1:01,"1 to 1",,20,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA103C,,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.91,,4.00-7.75,Yes,1:01,"1 to 1",,28,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
DA103C,DA103C,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.91,,4.00-7.75,Yes,1:01,"1 to 1",,28,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'max_leakage_inductance' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'primary_inductance_typical' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76602/1C,,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,72,500,,500,,1.5,,Yes,1:01:01,,"1 to 1 to 1",17.5,murataps_store_view,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76602/1C,76602/1C,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,72,500,,500,,1.5,,Yes,1:01:01,,"1 to 1 to 1",17.5,,"Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/16C,,,,0.92,,,,,,,,,0.25,,1000,,1000,,0.92,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/16C,78602/16C,,,0.92,,,,,,,,,0.25,,1000,,1000,,0.92,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/1C,,,,0.66,,,,,,,,,0.25,,1000,,1000,,0.66,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/1C,78602/1C,,,0.66,,,,,,,,,0.25,,1000,,1000,,0.66,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/2C,,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/2C,78602/2C,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/3C,,,,0.24,,,,,,,,,0.25,,1000,,1000,,0.24,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/3C,78602/3C,,,0.24,,,,,,,,,0.25,,1000,,1000,,0.24,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/4C,,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/4C,78602/4C,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/8C,,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/8C,78602/8C,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/9C,,,,1.34,,,,,,,,,0.25,,1000,,1000,,1.34,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78602/9C,78602/9C,,,1.34,,,,,,,,,0.25,,1000,,1000,,1.34,,Yes,1:01:01,,"1 to 1 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54050C,,,,0.007,,7,0.5,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,3.8,,,Yes,1:01:50,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54050C,54050C,,,0.007,,7,0.5,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,3.8,,,Yes,1:01:50,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54100C,,,,0.007,,7,3.2,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,14.8,,,Yes,1:01:100,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54100C,54100C,,,0.007,,7,3.2,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,14.8,,,Yes,1:01:100,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54200C,,,,0.007,,7,6.6,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,60,,,Yes,1:01:200,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
54200C,54200C,,,0.007,,7,6.6,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,60,,,Yes,1:01:200,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53020C,,,,0.007,,7,0.55,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.08,,,Yes,1:20,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53020C,53020C,,,0.007,,7,0.55,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.08,,,Yes,1:20,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53030C,,,,0.007,,7,0.85,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.18,,,Yes,1:30,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53030C,53030C,,,0.007,,7,0.85,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.18,,,Yes,1:30,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53040C,,,,0.007,,7,1.1,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.32,,,Yes,1:40,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53040C,53040C,,,0.007,,7,1.1,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.32,,,Yes,1:40,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53050C,,,,0.007,,7,1.75,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.5,,,Yes,1:50,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53050C,53050C,,,0.007,,7,1.75,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.5,,,Yes,1:50,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53060C,,,,0.007,,7,2.2,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.72,,,Yes,1:60,,,,murataps_store_view,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
53060C,53060C,,,0.007,,7,2.2,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.72,,,Yes,1:60,,,,,"Value for 'dc_resistance_max' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimension' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'dimensions_mm' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78604/16C,,,,0.85,,,,,,,,,0.25,,1000,,1000,,0.85,,Yes,2:01,,"2 to 1",,murataps_store_view,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
78604/16C,78604/16C,,,0.85,,,,,,,,,0.25,,1000,,1000,,0.85,,Yes,2:01,,"2 to 1",,,"Value for 'turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
