allow_backorders,attribute_set_code,display_product_options_in,enable_googlecheckout,enable_qty_increments,eol_date,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,manage_stock,max_cart_qty,min_cart_qty,name,notify_on_stock_below,out_of_stock_qty,page_layout,price,product_online,product_type,product_websites,qty,qty_increments,safety_bsmi,safety_cb_ite,safety_ccc,safety_cd_med,safety_csa,safety_demko,safety_list,safety_tuv,safety_ul_ite,safety_ul_med,safety_vde,series_3d_details,series_3d_iges,series_3d_pdf,series_3d_solidworks,series_3d_step,series_datasheet,series_primary,series_status,series_type,sku,store_view_code,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,visibility,website_id
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,1700,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_1700_thd_a.igs,/3d/magnetics/mps_mag_1700_thd_a.pdf,/3d/magnetics/mps_mag_1700_thd_a.sldprt,/3d/magnetics/mps_mag_1700_thd_a.step.zip,/data/magnetics/kmp_1700.pdf,Yes,Recommended In Production,Magnetic,series_1700,,1700,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,10/1/2018,0,No,1,0,No,1,10000,1,1800,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_1800.pdf,Yes,Discontinued,Magnetic,series_1800,,1800,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,1800R,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_1800r_thd_a.igs,/3d/magnetics/mps_mag_1800r_thd_a.pdf,/3d/magnetics/mps_mag_1800r_thd_a.sldprt,/3d/magnetics/mps_mag_1800r_thd_a.step.zip,/data/magnetics/kmp_1800r.pdf,Yes,Recommended In Production,Magnetic,series_1800R,,1800r,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,1900R,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_1900r_thd_a.igs,/3d/magnetics/mps_mag_1900r_thd_a.pdf,/3d/magnetics/mps_mag_1900r_thd_a.sldprt,/3d/magnetics/mps_mag_1900r_thd_a.step.zip,/data/magnetics/kmp_1900r.pdf,Yes,Recommended In Production,Magnetic,series_1900R,,1900r,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2200R ,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_2200r_thd_a.igs,/3d/magnetics/mps_mag_2200r_thd_a.pdf,/3d/magnetics/mps_mag_2200r_thd_a.sldprt,/3d/magnetics/mps_mag_2200r_thd_a.step.zip,/data/magnetics/kmp_2200r.pdf,Yes,Recommended In Production,Magnetic,series_2200R-,,2200r,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2200RM ,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,/3d/magnetics/mps_mag_2200rm_smt_a.igs,/3d/magnetics/mps_mag_2200rm_smt_a.pdf,/3d/magnetics/mps_mag_2200rm_smt_a.sldprt,/3d/magnetics/mps_mag_2200rm_smt_a.step.zip,/data/magnetics/kmp_2200rm.pdf,Yes,Recommended In Production,Magnetic,series_2200RM,,2200rm,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2300,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2300.pdf,Yes,Recommended In Production,Magnetic,series_2300,,2300,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2400,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,,Request,Request,Request,Request,/data/magnetics/kmp_2400.pdf,Yes,Recommended In Production,Magnetic,series_2400,,2400,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,8/18/2014,0,No,1,0,No,1,10000,1,2600,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,Surface-mount non shielded inductor,/3d/magnetics/mps_mag_2600_smt_a.igs,/3d/magnetics/mps_mag_2600_smt_a.pdf,/3d/magnetics/mps_mag_2600_smt_a.sldprt,/3d/magnetics/mps_mag_2600_smt_a.step.zip,/data/magnetics/kmp_2600.pdf,Yes,Recommended In Production,Magnetic,series_2600,,2600,1,1,1,1,1,1,1,1,Catalog,0
0,Series,Block after Info Column,Yes,0,,0,No,1,0,No,1,10000,1,2600S ,1,0,2 columns with right bar,0.01,1,simple,murataps,999,0,,,,,,,,,,,,Surface-mount shielded inductor,/3d/magnetics/mps_mag_2600s_smt_a.igs,/3d/magnetics/mps_mag_2600s_smt_a.pdf,/3d/magnetics/mps_mag_2600s_smt_a.sldprt,/3d/magnetics/mps_mag_2600s_smt_a.step.zip,/data/magnetics/kmp_2600s.pdf,No,Recommended In Production,Magnetic,series_2600S ,,2600s,1,1,1,1,1,1,1,1,Catalog,0
