sku,store_view_code,attribute_set_code,product_websites,name,rfm_spec_temp_range,rfm_spec_temp_max,rfm_spec_temp_min
SF1056B,,RFM - SAW Filter,"wireless,base",SF1056B, -40 to +80,80,-40
SF1081A-1,,RFM - SAW Filter,"wireless,base",SF1081A-1, -40 to +85,85,-40
SF1097A-1,,RFM - SAW Filter,"wireless,base",SF1097A-1, -40 to +85,85,-40
SF1140B,,RFM - SAW Filter,"wireless,base",SF1140B, -40 to +85,85,-40
SF1140B-2,,RFM - SAW Filter,"wireless,base",SF1140B-2, -40 to +105,105,-40
SF1141B,,RFM - SAW Filter,"wireless,base",SF1141B, -40 to +85,85,-40
SF1141B-2,,RFM - SAW Filter,"wireless,base",SF1141B-2, -40 to +105,105,-40
SF1141B-4,,RFM - SAW Filter,"wireless,base",SF1141B-4, -40 to +85,85,-40
SF1142B,,RFM - SAW Filter,"wireless,base",SF1142B, -40 to +85,85,-40
SF1143B,,RFM - SAW Filter,"wireless,base",SF1143B, -40 to +85,85,-40
SF1143B-1,,RFM - SAW Filter,"wireless,base",SF1143B-1, -40 to +85,85,-40
SF1143B-2,,RFM - SAW Filter,"wireless,base",SF1143B-2, -40 to +105,105,-40
SF1143B-4,,RFM - SAW Filter,"wireless,base",SF1143B-4, -40 to +85,85,-40
SF1145B,,RFM - SAW Filter,"wireless,base",SF1145B, -40 to +85,85,-40
SF1146B,,RFM - SAW Filter,"wireless,base",SF1146B, -40 to +85,85,-40
SF1186B-2,,RFM - SAW Filter,"wireless,base",SF1186B-2, -40 to +85,85,-40
SF1186B-3,,RFM - SAW Filter,"wireless,base",SF1186B-3, -40 to +85,85,-40
SF1186B-4,,RFM - SAW Filter,"wireless,base",SF1186B-4, -40 to +85,85,-40
SF1186E-1,,RFM - SAW Filter,"wireless,base",SF1186E-1, -40 to +85,85,-40
SF1186E-2,,RFM - SAW Filter,"wireless,base",SF1186E-2, -40 to +95,95,-40
SF1186G,,RFM - SAW Filter,"wireless,base",SF1186G, -40 to +85,85,-40
SF1186G-2,,RFM - SAW Filter,"wireless,base",SF1186G-2, -40 to +85,85,-40
SF1186G-6,,RFM - SAW Filter,"wireless,base",SF1186G-6, -40 to +85,85,-40
SF1186H-2,,RFM - SAW Filter,"wireless,base",SF1186H-2, -40 to +85,85,-40
SF1186H-3,,RFM - SAW Filter,"wireless,base",SF1186H-3, -40 to +105,105,-40
SF1200B,,RFM - SAW Filter,"wireless,base",SF1200B, -40 to +85,85,-40
SF1218D,,RFM - SAW Filter,"wireless,base",SF1218D, -40 to +85,85,-40
SF1219E,,RFM - SAW Filter,"wireless,base",SF1219E, -40 to +105,105,-40
SF1219E-1,,RFM - SAW Filter,"wireless,base",SF1219E-1, -40 to +105,105,-40
SF1220G,,RFM - SAW Filter,"wireless,base",SF1220G, -40 to +85,85,-40
SF1224E-1,,RFM - SAW Filter,"wireless,base",SF1224E-1, -40 to +105,105,-40
SF1224E-3,,RFM - SAW Filter,"wireless,base",SF1224E-3, -40 to +85,85,-40
SF2017D,,RFM - SAW Filter,"wireless,base",SF2017D, -40 to +85,85,-40
SF2017E,,RFM - SAW Filter,"wireless,base",SF2017E, -40 to +85,85,-40
SF2021B,,RFM - SAW Filter,"wireless,base",SF2021B, -40 to +85,85,-40
SF2024B,,RFM - SAW Filter,"wireless,base",SF2024B, -40 to +85,85,-40
SF2024D,,RFM - SAW Filter,"wireless,base",SF2024D, -40 to +85,85,-40
SF2024D-1,,RFM - SAW Filter,"wireless,base",SF2024D-1, -40 to +85,85,-40
SF2024E-1,,RFM - SAW Filter,"wireless,base",SF2024E-1, -40 to +85,85,-40
SF2024E-2,,RFM - SAW Filter,"wireless,base",SF2024E-2, -40 to +85,85,-40
SF2025B,,RFM - SAW Filter,"wireless,base",SF2025B, -40 to +85,85,-40
SF2025D,,RFM - SAW Filter,"wireless,base",SF2025D, -40 to +85,85,-40
SF2026B,,RFM - SAW Filter,"wireless,base",SF2026B, -40 to +85,85,-40
SF2033A,,RFM - SAW Filter,"wireless,base",SF2033A, -40 to +85,85,-40
SF2037B,,RFM - SAW Filter,"wireless,base",SF2037B, -40 to +85,85,-40
SF2037B-2,,RFM - SAW Filter,"wireless,base",SF2037B-2, -40 to +105,105,-40
SF2037B-3,,RFM - SAW Filter,"wireless,base",SF2037B-3, -40 to +85,85,-40
SF2037C,,RFM - SAW Filter,"wireless,base",SF2037C, -40 to +85,85,-40
SF2038B,,RFM - SAW Filter,"wireless,base",SF2038B, -40 to +85,85,-40
SF2038B-2,,RFM - SAW Filter,"wireless,base",SF2038B-2, -40 to +105,105,-40
SF2038B-3,,RFM - SAW Filter,"wireless,base",SF2038B-3, -40 to +85,85,-40
SF2038C,,RFM - SAW Filter,"wireless,base",SF2038C, -40 to +85,85,-40
SF2039B,,RFM - SAW Filter,"wireless,base",SF2039B, -40 to +85,85,-40
SF2039B-2,,RFM - SAW Filter,"wireless,base",SF2039B-2, -40 to +105,105,-40
SF2039B-3,,RFM - SAW Filter,"wireless,base",SF2039B-3, -40 to +85,85,-40
SF2040B,,RFM - SAW Filter,"wireless,base",SF2040B, -40 to +85,85,-40
SF2040B-2,,RFM - SAW Filter,"wireless,base",SF2040B-2, -40 to +105,105,-40
SF2040B-3,,RFM - SAW Filter,"wireless,base",SF2040B-3, -40 to +85,85,-40
SF2042B,,RFM - SAW Filter,"wireless,base",SF2042B, -40 to +85,85,-40
SF2042C,,RFM - SAW Filter,"wireless,base",SF2042C, -40 to +85,85,-40
SF2045A,,RFM - SAW Filter,"wireless,base",SF2045A, -40 to +85,85,-40
SF2046B,,RFM - SAW Filter,"wireless,base",SF2046B, -40 to +85,85,-40
SF2049E,,RFM - SAW Filter,"wireless,base",SF2049E, -40 to +85,85,-40
SF2049E-1,,RFM - SAW Filter,"wireless,base",SF2049E-1, -40 to +85,85,-40
SF2059B-1,,RFM - SAW Filter,"wireless,base",SF2059B-1, -40 to +85,85,-40
SF2060B,,RFM - SAW Filter,"wireless,base",SF2060B, -40 to +85,85,-40
SF2060B-1,,RFM - SAW Filter,"wireless,base",SF2060B-1, -40 to +85,85,-40
SF2063A,,RFM - SAW Filter,"wireless,base",SF2063A, -40 to +85,85,-40
SF2064A,,RFM - SAW Filter,"wireless,base",SF2064A, -40 to +85,85,-40
SF2069A-1,,RFM - SAW Filter,"wireless,base",SF2069A-1, -40 to +85,85,-40
SF2069A-2,,RFM - SAW Filter,"wireless,base",SF2069A-2, -40 to +85,85,-40
SF2072C,,RFM - SAW Filter,"wireless,base",SF2072C, -40 to +85,85,-40
SF2073B,,RFM - SAW Filter,"wireless,base",SF2073B, -40 to +85,85,-40
SF2076B,,RFM - SAW Filter,"wireless,base",SF2076B, -40 to +85,85,-40
SF2079D,,RFM - SAW Filter,"wireless,base",SF2079D, -40 to +85,85,-40
SF2079D-1,,RFM - SAW Filter,"wireless,base",SF2079D-1, -40 to +85,85,-40
SF2079E,,RFM - SAW Filter,"wireless,base",SF2079E, -40 to +85,85,-40
SF2085A,,RFM - SAW Filter,"wireless,base",SF2085A, -40 to +85,85,-40
SF2086C,,RFM - SAW Filter,"wireless,base",SF2086C, -40 to +85,85,-40
SF2087C,,RFM - SAW Filter,"wireless,base",SF2087C, -40 to +85,85,-40
SF2088C,,RFM - SAW Filter,"wireless,base",SF2088C, -40 to +85,85,-40
SF2089C,,RFM - SAW Filter,"wireless,base",SF2089C, -40 to +85,85,-40
SF2090C,,RFM - SAW Filter,"wireless,base",SF2090C, -40 to +85,85,-40
SF2091C,,RFM - SAW Filter,"wireless,base",SF2091C, -40 to +85,85,-40
SF2094B,,RFM - SAW Filter,"wireless,base",SF2094B, -40 to +85,85,-40
SF2097B,,RFM - SAW Filter,"wireless,base",SF2097B, -40 to +80,80,-40
SF2098E,,RFM - SAW Filter,"wireless,base",SF2098E, -40 to +125,125,-40
SF2098H,,RFM - SAW Filter,"wireless,base",SF2098H, -40 to +100,100,-40
SF2109D,,RFM - SAW Filter,"wireless,base",SF2109D, -40 to +85,85,-40
SF2110D,,RFM - SAW Filter,"wireless,base",SF2110D, -40 to +85,85,-40
SF2111A,,RFM - SAW Filter,"wireless,base",SF2111A, -40 to +85,85,-40
SF2120C,,RFM - SAW Filter,"wireless,base",SF2120C, -40 to +85,85,-40
SF2124E,,RFM - SAW Filter,"wireless,base",SF2124E, -40 to +100,100,-40
SF2125D,,RFM - SAW Filter,"wireless,base",SF2125D, -40 to +85,85,-40
SF2126E,,RFM - SAW Filter,"wireless,base",SF2126E, -40 to + 105,105,-40
SF2131B,,RFM - SAW Filter,"wireless,base",SF2131B, -40 to +85,85,-40
SF2133E-3,,RFM - SAW Filter,"wireless,base",SF2133E-3, -40 to + 105,105,-40
SF2134E,,RFM - SAW Filter,"wireless,base",SF2134E, -40 to + 105,105,-40
SF2136E,,RFM - SAW Filter,"wireless,base",SF2136E, -40 to +85,85,-40
SF2137E,,RFM - SAW Filter,"wireless,base",SF2137E, -40 to +85,85,-40
SF2137E-2,,RFM - SAW Filter,"wireless,base",SF2137E-2, -40 to +85,85,-40
SF2138B,,RFM - SAW Filter,"wireless,base",SF2138B, -40 to +105,105,-40
SF2138B-1,,RFM - SAW Filter,"wireless,base",SF2138B-1, -40 to +105,105,-40
SF2139D,,RFM - SAW Filter,"wireless,base",SF2139D, -40 to +85,85,-40
SF2140A,,RFM - SAW Filter,"wireless,base",SF2140A, -40 to +85,85,-40
SF2143A,,RFM - SAW Filter,"wireless,base",SF2143A, -40 to +105,105,-40
SF2143B,,RFM - SAW Filter,"wireless,base",SF2143B, -40 to +105,105,-40
SF2147D,,RFM - SAW Filter,"wireless,base",SF2147D, -40 to +85,85,-40
SF2148B,,RFM - SAW Filter,"wireless,base",SF2148B, -40 to +85,85,-40
SF2149A,,RFM - SAW Filter,"wireless,base",SF2149A, -40 to +60,60,-40
SF2150E,,RFM - SAW Filter,"wireless,base",SF2150E, -40 to +85,85,-40
SF2151B,,RFM - SAW Filter,"wireless,base",SF2151B, -40 to +85,85,-40
SF2155B,,RFM - SAW Filter,"wireless,base",SF2155B, -40 to +85,85,-40
SF2157A,,RFM - SAW Filter,"wireless,base",SF2157A, -40 to +85,85,-40
SF2158E,,RFM - SAW Filter,"wireless,base",SF2158E, -40 to +85,85,-40
