sku,store_view_code,attribute_set_code,product_websites,name,rfm_spec_temp_range,rfm_spec_temp_max,rfm_spec_temp_min
SF1216D,,RFM - SAW Filter,"wireless,base",SF1216D, -30 to +80,80,-30
SF1217D,,RFM - SAW Filter,"wireless,base",SF1217D, -30 to +80,80,-30
SF1222D,,RFM - SAW Filter,"wireless,base",SF1222D, -30 to +85,85,-30
SF1223D,,RFM - SAW Filter,"wireless,base",SF1223D, -30 to +85,85,-30
SF2001E,,RFM - SAW Filter,"wireless,base",SF2001E, -30 to +80,80,-30
SF2002B-2,,RFM - SAW Filter,"wireless,base",SF2002B-2, -30 to +80,80,-30
SF2002E,,RFM - SAW Filter,"wireless,base",SF2002E, -30 to +85,85,-30
SF2006C,,RFM - SAW Filter,"wireless,base",SF2006C, -30 to +70,70,-30
SF2032E,,RFM - SAW Filter,"wireless,base",SF2032E, -30 to +85,85,-30
SF2036E,,RFM - SAW Filter,"wireless,base",SF2036E, -30 to +85,85,-30
