sku,name,efficiency,input_current,vin_range,mounting_type,i1out,i2out,output_power_total_w,v1out_vdc,v1out_vdc_number,v1out_range_vdc,v2out_vdc,v3out_vdc,package_style,quality,ripple_noise,store_view_code,errors
NTA0503MC,NTA0503MC,77,259,"4.5 to 5.5","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0503MC-R,NTA0503MC-R,77,259,"4.5 to 5.5","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
MTC2S1203MC,MTC2S1203MC,78.5,210,"9 to 18","Surface Mount",0.606,,2,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",40,,
MTC2S1205MC,MTC2S1205MC,80,210,"9 to 18","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",45,,
MTC2S1212MC,MTC2S1212MC,83.5,200,"9 to 18","Surface Mount",0.167,,2,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",45,,
MTC2S2403MC,MTC2S2403MC,78.5,110,"18 to 36","Surface Mount",0.606,,2,3.3,3.3,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",55,,
MTC2S2405MC,MTC2S2405MC,79.5,100,"18 to 36","Surface Mount",0.4,,2,5,5,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",35,,
MTC2S2412MC,MTC2S2412MC,81.5,100,"18 to 36","Surface Mount",0.167,,2,12,12,,,,SMD,"UL60950 & ANSI/AAMI ES60601-1
",50,,
NTA0303MC,NTA0303MC,75,402,"2.97 to 3.63","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0303MC-R,NTA0303MC-R,75,402,"2.97 to 3.63","Surface Mount",0.152," -0.152",1,3.3,3.3,," -3.3",,SMD,,40,,
NTA0305MC,NTA0305MC,78,388,"2.97 to 3.63","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0305MC-R,NTA0305MC-R,78,388,"2.97 to 3.63","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0309MC,NTA0309MC,75,405,"2.97 to 3.63","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0309MC-R,NTA0309MC-R,75,405,"2.97 to 3.63","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0312MC,NTA0312MC,77,390,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0312MC-R,NTA0312MC-R,77,390,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0315MC,NTA0315MC,77,392,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0315MC-R,NTA0315MC-R,77,392,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0505MC,NTA0505MC,69,290,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA0505MC-R,NTA0505MC-R,69,290,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA0505MEC,NTA0505MEC,80,251,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0505MEC-R,NTA0505MEC-R,80,251,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,40,,
NTA0509MC,NTA0509MC,75,267,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0509MC-R,NTA0509MC-R,75,267,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA0512MC,NTA0512MC,77,260,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0512MC-R,NTA0512MC-R,77,260,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA0515MC,NTA0515MC,78,256,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA0515MC-R,NTA0515MC-R,78,256,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA1205MC,NTA1205MC,69,121,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA1205MC-R,NTA1205MC-R,69,121,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,50,,
NTA1209MC,NTA1209MC,74,113,"10.8 to 13.2","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA1209MC-R,NTA1209MC-R,74,113,"10.8 to 13.2","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,35,,
NTA1212MC,NTA1212MC,75,111,"10.8 to 13.2","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA1212MC-R,NTA1212MC-R,75,111,"10.8 to 13.2","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,50,,
NTA1215MC,NTA1215MC,76,110,"10.8 to 13.2","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTA1215MC-R,NTA1215MC-R,76,110,"10.8 to 13.2","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,65,,
NTH0505MC,NTH0505MC,80,500,"4.5 to 5.5","Surface Mount",0.2," -0.2",2,5,5,," -5",,SMD,,150,,
NTH0505MC-R,NTH0505MC-R,80,500,"4.5 to 5.5","Surface Mount",0.2," -0.2",2,5,5,," -5",,SMD,,150,,
NTH0509MC,NTH0509MC,81,494,"4.5 to 5.5","Surface Mount",0.111," -0.111",2,9,9,," -9",,SMD,,100,,
NTH0509MC-R,NTH0509MC-R,81,494,"4.5 to 5.5","Surface Mount",0.111," -0.111",2,9,9,," -9",,SMD,,100,,
NTH0512MC,NTH0512MC,82,488,"4.5 to 5.5","Surface Mount",0.83," -0.83",2,12,12,," -12",,SMD,,80,,
NTH0512MC-R,NTH0512MC-R,82,488,"4.5 to 5.5","Surface Mount",0.83," -0.83",2,12,12,," -12",,SMD,,80,,
NTH0515MC,NTH0515MC,84,476,"4.5 to 5.5","Surface Mount",0.067," -0.67",2,15,15,," -15",,SMD,,70,,
NTH0515MC-R,NTH0515MC-R,84,476,"4.5 to 5.5","Surface Mount",0.067," -0.67",2,15,15,," -15",,SMD,,70,,
NTH1205MC,NTH1205MC,80,208,"10.8 to 13.2","Surface Mount",0.2," -0.2",2,5,5,," -5",,SMD,,150,,
NTH1205MC-R,NTH1205MC-R,80,208,"10.8 to 13.2","Surface Mount",0.2," -0.2",2,5,5,," -5",,SMD,,150,,
NTH1209MC,NTH1209MC,83,201,"10.8 to 13.2","Surface Mount",0.111," -0.111",2,9,9,," -9",,SMD,,100,,
NTH1209MC-R,NTH1209MC-R,83,201,"10.8 to 13.2","Surface Mount",0.111," -0.111",2,9,9,," -9",,SMD,,100,,
NTH1212MC,NTH1212MC,84,198,"10.8 to 13.2","Surface Mount",0.83," -0.83",2,12,12,," -12",,SMD,,80,,
NTH1212MC-R,NTH1212MC-R,84,198,"10.8 to 13.2","Surface Mount",0.83," -0.83",2,12,12,," -12",,SMD,,80,,
NTH1215MC,NTH1215MC,84,198,"10.8 to 13.2","Surface Mount",0.67," -0.67",2,15,15,," -15",,SMD,,70,,
NTH1215MC-R,NTH1215MC-R,84,198,"10.8 to 13.2","Surface Mount",0.67," -0.67",2,15,15,," -15",,SMD,,70,,
NTV0505MC,NTV0505MC,71,282,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,,,
NTV0505MC-R,NTV0505MC-R,71,282,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,,,
NTV0509MC,NTV0509MC,77,260,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,,,
NTV0509MC-R,NTV0509MC-R,77,260,"4.5 to 5.5","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,,,
NTV0512MC,NTV0512MC,79,253,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,,,
NTV0512MC-R,NTV0512MC-R,79,253,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,,,
NTV0515MC,NTV0515MC,80,250,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,,,
NTV0515MC-R,NTV0515MC-R,80,250,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,,,
NTV1205MC,NTV1205MC,73,114,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,,,
NTV1205MC-R,NTV1205MC-R,73,114,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,,,,
NTV1209MC,NTV1209MC,79,105,"10.8 to 13.2","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,,,
NTV1209MC-R,NTV1209MC-R,79,105,"10.8 to 13.2","Surface Mount",0.055," -0.055",1,9,9,," -9",,SMD,,,,
NTV1212MC,NTV1212MC,80,104,"10.8 to 13.2","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,,,
NTV1212MC-R,NTV1212MC-R,80,104,"10.8 to 13.2","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,,,,
NTV1215MC,NTV1215MC,82,101,"10.8 to 13.2","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,,,
NTV1215MC-R,NTV1215MC-R,82,101,"10.8 to 13.2","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,,,,
NXE1S0305MC,NXE1S0305MC,70,415,"2.97 to 3.63","Surface Mount",0.2,,1,5,5,,,,SMD,"UL60950, ANSI/AAMI ES60601-1 ",40,,
NTE0303MC,NTE0303MC,73,410,"2.97 to 3.63","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,,40,,
NTE0303MC-R,NTE0303MC-R,73,410,"2.97 to 3.63","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,,40,,
NTE0305MC,NTE0305MC,78,390,"2.97 to 3.63","Surface Mount",0.2,,1,5,5,,,,SMD,,40,,
NTE0305MC-R,NTE0305MC-R,78,390,"2.97 to 3.63","Surface Mount",0.2,,1,5,5,,,,SMD,,40,,
NTE0309MC,NTE0309MC,77,400,"2.97 to 3.63","Surface Mount",0.111,,1,9,9,,,,SMD,,40,,
NTE0309MC-R,NTE0309MC-R,77,400,"2.97 to 3.63","Surface Mount",0.111,,1,9,9,,,,SMD,,40,,
NTE0312MC,NTE0312MC,77,400,"2.97 to 3.63","Surface Mount",0.083,,1,12,12,,,,SMD,,40,,
NTE0312MC-R,NTE0312MC-R,77,400,"2.97 to 3.63","Surface Mount",0.083,,1,12,12,,,,SMD,,40,,
NTE0315MC,NTE0315MC,77,400,"2.97 to 3.63","Surface Mount",0.066,,1,15,15,,,,SMD,,40,,
NTE0315MC-R,NTE0315MC-R,77,400,"2.97 to 3.63","Surface Mount",0.066,,1,15,15,,,,SMD,,40,,
NTE0503MC,NTE0503MC,74,270,"4.5 to 5.5","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,,40,,
NTE0503MC-R,NTE0503MC-R,74,270,"4.5 to 5.5","Surface Mount",0.303,,1,3.3,3.3,,,,SMD,,40,,
NTE0505MC,NTE0505MC,68,294,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,,62,,
NTE0505MC-R,NTE0505MC-R,68,294,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,,62,,
NTE0505MEC,NTE0505MEC,77,260,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,,40,,
NTE0505MEC-R,NTE0505MEC-R,77,260,"4.5 to 5.5","Surface Mount",0.2,,1,5,5,,,,SMD,,40,,
NTE0506MC,NTE0506MC,72,278,"4.5 to 5.5","Surface Mount",0.167,,1,6,6,,,,SMD,,103,,
NTE0506MC-R,NTE0506MC-R,72,278,"4.5 to 5.5","Surface Mount",0.167,,1,6,6,,,,SMD,,103,,
NTE0509MC,NTE0509MC,75,267,"4.5 to 5.5","Surface Mount",0.111,,1,9,9,,,,SMD,,8.3,,
NTE0509MC-R,NTE0509MC-R,75,267,"4.5 to 5.5","Surface Mount",0.111,,1,9,9,,,,SMD,,8.3,,
NTE0512MC,NTE0512MC,77,260,"4.5 to 5.5","Surface Mount",0.083,,1,12,12,,,,SMD,,39,,
NTE0512MC-R,NTE0512MC-R,77,260,"4.5 to 5.5","Surface Mount",0.083,,1,12,12,,,,SMD,,39,,
NTE0515MC,NTE0515MC,78,256,"4.5 to 5.5","Surface Mount",0.066,,1,15,15,,,,SMD,,38,,
NTE0515MC-R,NTE0515MC-R,78,256,"4.5 to 5.5","Surface Mount",0.066,,1,15,15,,,,SMD,,38,,
NTE1205MC,NTE1205MC,67,124,"10.8 to 13.2","Surface Mount",0.2,,1,5,5,,,,SMD,,62,,
NTE1205MC-R,NTE1205MC-R,67,124,"10.8 to 13.2","Surface Mount",0.2,,1,5,5,,,,SMD,,62,,
NTE1209MC,NTE1209MC,73,114,"10.8 to 13.2","Surface Mount",0.111,,1,9,9,,,,SMD,,8.3,,
NTE1209MC-R,NTE1209MC-R,73,114,"10.8 to 13.2","Surface Mount",0.111,,1,9,9,,,,SMD,,8.3,,
NTE1212MC,NTE1212MC,74,113,"10.8 to 13.2","Surface Mount",0.083,,1,12,12,,,,SMD,,39,,
NTE1212MC-R,NTE1212MC-R,74,113,"10.8 to 13.2","Surface Mount",0.083,,1,12,12,,,,SMD,,39,,
NTE1215MC,NTE1215MC,75,111,"10.8 to 13.2","Surface Mount",0.066,,1,15,15,,,,SMD,,38,,
NTE1215MC-R,NTE1215MC-R,75,111,"10.8 to 13.2","Surface Mount",0.066,,1,15,15,,,,SMD,,38,,
MTU1S0305MC,MTU1S0305MC,81,367,"2.97 to 3.63","Surface Mount",0.2,,1,5,5,,,,SMD,UL60950,26,,
MTU1D0305MC,MTU1D0305MC,83,356,"2.97 to 3.63","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,UL60950,18,,
MTU1D0505MC,MTU1D0505MC,84,235,"4.5 to 5.5","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,UL60950,14,,
MTU1D0509MC,MTU1D0509MC,86,229,"4.5 to 5.5","Surface Mount",0.056," -0.056",1,9,9,," -9",,SMD,UL60950,7,,
MTU1D0512MC,MTU1D0512MC,87,228,"4.5 to 5.5","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,UL60950,8,,
MTU1D0515MC,MTU1D0515MC,88,224,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,UL60950,8,,
MTU1D1205MC,MTU1D1205MC,85,98,"10.8 to 13.2","Surface Mount",0.1," -0.1",1,5,5,," -5",,SMD,UL60950,14,,
MTU1D1209MC,MTU1D1209MC,87,95,"10.8 to 13.2","Surface Mount",0.056," -0.056",1,9,9,," -9",,SMD,UL60950,7,,
MTU1D1212MC,MTU1D1212MC,88,94,"10.8 to 13.2","Surface Mount",0.042," -0.042",1,12,12,," -12",,SMD,UL60950,8,,
MTU1D1215MC,MTU1D1215MC,88,94,"4.5 to 5.5","Surface Mount",0.033," -0.033",1,15,15,," -15",,SMD,UL60950,8,,
MEF1S0305SPC,MEF1S0305SPC,71,430,3.135-3.465,"Through Hole",0.2,,1,5,5,,,,SIP,UL60950,9,,
NMT0572SC,NMT0572SC,85,50,"4.5 to 5.5","Through Hole",0.042,0.021,3," -24"," -24",," -48"," -72",SIP,,220,,"Value for 'v1out_vdc' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'v3out_vdc' attribute contains incorrect value, see acceptable values on settings specified for Admin"
NMT1272SC,NMT1272SC,85,27.5,"10.8 to 13.2","Through Hole",0.042,0.021,3," -24"," -24",," -48"," -72",SIP,,220,,"Value for 'v1out_vdc' attribute contains incorrect value, see acceptable values on settings specified for Admin,Value for 'v3out_vdc' attribute contains incorrect value, see acceptable values on settings specified for Admin"
NMD050505SC,NMD050505SC,70,,"4.5 to 5.5","Through Hole",0.1,0.1,1,5,5,,5,,SIP,,75,,
NMD050512SC,NMD050512SC,80,,"4.5 to 5.5","Through Hole",0.1,0.042,1,5,5,,12,,SIP,,75,,
NMD050515SC,NMD050515SC,80,,"4.5 to 5.5","Through Hole",0.1,0.034,1,5,5,,15,,SIP,,75,,
NDS6D2405C,NDS6D2405C,82,300,"18 to 36","Through Hole",0.6," -0.6",6,5,5,," -5",,DIP,UL60950,40,,
NDS6D2405EC,NDS6D2405EC,82,300,"18 to 36","Through Hole",0.6," -0.6",6,5,5,," -5",,DIP,UL60950,40,,
NDS6D2412C,NDS6D2412C,87,290,"18 to 36","Through Hole",0.25," -0.25",6,12,12,," -12",,DIP,UL60950,40,,
NDS6D2412EC,NDS6D2412EC,87,290,"18 to 36","Through Hole",0.25," -0.25",6,12,12,," -12",,DIP,UL60950,40,,
NDS6D2415C,NDS6D2415C,87,290,"18 to 36","Through Hole",0.2," -0.2",6,15,15,," -15",,DIP,UL60950,45,,
NDS6D2415EC,NDS6D2415EC,87,290,"18 to 36","Through Hole",0.2," -0.2",6,15,15,," -15",,DIP,UL60950,45,,
NDS6S2405C,NDS6S2405C,82,305,"18 to 36","Through Hole",1.2,,6,5,5,,,,DIP,UL60950,40,,
NDS6S2405EC,NDS6S2405EC,82,305,"18 to 36","Through Hole",1.2,,6,5,5,,,,DIP,UL60950,40,,
NDS6S2412C,NDS6S2412C,86,290,"18 to 36","Through Hole",0.5,,6,12,12,,,,DIP,UL60950,40,,
NDS6S2412EC,NDS6S2412EC,86,290,"18 to 36","Through Hole",0.5,,6,12,12,,,,DIP,UL60950,40,,
NDS6S2415C,NDS6S2415C,87,290,"18 to 36","Through Hole",0.4,,6,15,15,,,,DIP,UL60950,40,,
NDS6S2415EC,NDS6S2415EC,87,290,"18 to 36","Through Hole",0.4,,6,15,15,,,,DIP,UL60950,40,,
NMS0505C,NMS0505C,74,,"4.5 to 5.5","Through Hole",0.2," -0.2",2,5,5,," -5",,DIP,UL60950,,,
NMS0509C,NMS0509C,76,,"4.5 to 5.5","Through Hole",0.111," -0.111",2,9,9,," -9",,DIP,UL60950,,,
NMS0512C,NMS0512C,77,,"4.5 to 5.5","Through Hole",0.083," -0.083",2,12,12,," -12",,DIP,UL60950,,,
NMS0515C,NMS0515C,78,,"4.5 to 5.5","Through Hole",0.067," -0.067",2,15,15,," -15",,DIP,UL60950,,,
NMS1205C,NMS1205C,78,,"10.8 to 13.2","Through Hole",0.2," -0.2",2,5,5,," -5",,DIP,UL60950,,,
NMS1209C,NMS1209C,81,,"10.8 to 13.2","Through Hole",0.111," -0.111",2,9,9,," -9",,DIP,UL60950,,,
NMS1212C,NMS1212C,82,,"10.8 to 13.2","Through Hole",0.083," -0.083",2,12,12,," -12",,DIP,UL60950,,,
NMS1215C,NMS1215C,82,,"10.8 to 13.2","Through Hole",0.067," -0.067",2,15,15,," -15",,DIP,UL60950,,,
NMV0505DAC,NMV0505DAC,68,294,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,15,,
NMV0505DC,NMV0505DC,71.5,280,"4.5 to 5.5","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,11,,
NMV0505SAC,NMV0505SAC,68,294,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,16,,
NMV0505SC,NMV0505SC,71.5,280,"4.5 to 5.5","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,11,,
NMV0509DAC,NMV0509DAC,75,267,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,11.3,,
NMV0509DC,NMV0509DC,76,263,"4.5 to 5.5","Through Hole",0.055," -0.055",1,9,9,," -9",,DIP,UL60950,7.5,,
NMV0509SAC,NMV0509SAC,75,267,"4.5 to 5.5","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,12,,
NMV0509SC,NMV0509SC,76,263,"4.5 to 5.5","Through Hole",0.055," -0.055",1,9,9,," -9",,SIP,UL60950,7,,
NMV0512DAC,NMV0512DAC,77,260,"4.5 to 5.5","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,10.5,,
NMV0512DC,NMV0512DC,78,256,"4.5 to 5.5","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,6.7,,
NMV0512SAC,NMV0512SAC,77,260,"4.5 to 5.5","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,11,,
NMV0512SC,NMV0512SC,78,256,"4.5 to 5.5","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,6.7,,
NMV0515DAC,NMV0515DAC,78,256,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,8.7,,
NMV0515DC,NMV0515DC,79,253,"4.5 to 5.5","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,6,,
NMV0515SAC,NMV0515SAC,78,256,"4.5 to 5.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,11,,
NMV0515SC,NMV0515SC,79,253,"4.5 to 5.5","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,6.3,,
NMV1205DAC,NMV1205DAC,69,121,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,DIP,UL60950,9.5,,
NMV1205DC,NMV1205DC,71,117,"10.8 to 13.2","Through Hole",0.1," -0.1",1,5,5,," -5",,DIP,UL60950,8.6,,
NMV1205SAC,NMV1205SAC,69,121,"10.8 to 13.2","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,11,,
NMV1205SC,NMV1205SC,71,117,"10.8 to 13.2","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,10,,
NMV1209DAC,NMV1209DAC,74,113,"10.8 to 13.2","Through Hole",0.111,,1,9,9,,,,DIP,UL60950,7,,
NMV1209DC,NMV1209DC,74,113,"10.8 to 13.2","Through Hole",0.055," -0.055",1,9,9,," -9",,DIP,UL60950,6.5,,
NMV1209SAC,NMV1209SAC,74,113,"10.8 to 13.2","Through Hole",0.111,,1,9,9,,,,SIP,UL60950,7.5,,
NMV1209SC,NMV1209SC,74,113,"10.8 to 13.2","Through Hole",0.055," -0.055",1,9,9,," -9",,SIP,UL60950,8,,
NMV1212DAC,NMV1212DAC,77,108,"10.8 to 13.2","Through Hole",0.084,,1,12,12,,,,DIP,UL60950,8,,
NMV1212DC,NMV1212DC,75,111,"10.8 to 13.2","Through Hole",0.042," -0.042",1,12,12,," -12",,DIP,UL60950,6.2,,
NMV1212SAC,NMV1212SAC,77,108,"10.8 to 13.2","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,9,,
NMV1212SC,NMV1212SC,75,111,"10.8 to 13.2","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,6,,
NMV1215DAC,NMV1215DAC,77,108,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,DIP,UL60950,8,,
NMV1215DC,NMV1215DC,76,110,"10.8 to 13.2","Through Hole",0.033," -0.033",1,15,15,," -15",,DIP,UL60950,5.5,,
NMV1215SAC,NMV1215SAC,77,108,"10.8 to 13.2","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,8.5,,
NMV1215SC,NMV1215SC,76,110,"10.8 to 13.2","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,6.5,,
NMV1505SAC,NMV1505SAC,67,93,"13.5 to 16.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,15.5,,
NMV1505SC,NMV1505SC,69,91,"13.5 to 16.5","Through Hole",0.1," -0.1",1,5,5,," -5",,SIP,UL60950,11,,
NMV1512SAC,NMV1512SAC,75,85,"13.5 to 16.5","Through Hole",0.084,,1,12,12,,,,SIP,UL60950,11.2,,
NMV1512SC,NMV1512SC,75,87,"13.5 to 16.5","Through Hole",0.042," -0.042",1,12,12,," -12",,SIP,UL60950,7.5,,
NMV1515SAC,NMV1515SAC,77,84,"13.5 to 16.5","Through Hole",0.067,,1,15,15,,,,SIP,UL60950,11,,
NMV1515SC,NMV1515SC,77,84,"13.5 to 16.5","Through Hole",0.033," -0.033",1,15,15,," -15",,SIP,UL60950,7.5,,
MEE3S0505SC,MEE3S0505SC,83,703,"4.5 to 5.5","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,46,,
MEE3S0509SC,MEE3S0509SC,87,677,"4.5 to 5.5","Through Hole",0.333,,3,9,9,,,,SIP,UL60950,28,,
MEE3S0512SC,MEE3S0512SC,86,691,"4.5 to 5.5","Through Hole",0.25,,3,12,12,,,,SIP,UL60950,26,,
MEE3S0515SC,MEE3S0515SC,88,679,"4.5 to 5.5","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,24,,
MEE3S1205SC,MEE3S1205SC,85,290,"10.8 to 13.2","Through Hole",0.6,,3,5,5,,,,SIP,UL60950,41,,
MEE3S1209SC,MEE3S1209SC,88,280,"10.8 to 13.2","Through Hole",0.333,,3,9,9,,,,SIP,UL60950,21,,
MEE3S1212SC,MEE3S1212SC,88,280,"10.8 to 13.2","Through Hole",0.25,,3,12,12,,,,SIP,UL60950,19,,
MEE3S1215SC,MEE3S1215SC,89,277,"10.8 to 13.2","Through Hole",0.2,,3,15,15,,,,SIP,UL60950,21,,
MMV1S0505SC,MMV1S0505SC,78,250,"4.5 to 5.5","Through Hole",0.2,,1,5,5,,,,SIP,UL60950,40,,
NCM6S1215EC,NCM6S1215EC,87,300,"9 to 36","Through Hole",0.4,,6,15,15,,,,DIP,"UL60950 & ES60601-1",105,,
NCM6S1212EC,NCM6S1212EC,86,300,"9 to 36","Through Hole",0.5,,6,12,12,,,,DIP,"UL60950 & ES60601-1",70,,
NCM6S1205EC,NCM6S1205EC,82,315,"9 to 36","Through Hole",1.2,,6,5,5,,,,DIP,"UL60950 & ES60601-1",25,,
NCM6S1203EC,NCM6S1203EC,79,270,"9 to 36","Through Hole",1.52,,6,3.3,3.3,,,,DIP,"UL60950 & ES60601-1",60,,
NCM6S0515EC,NCM6S0515EC,83,1500,"4.5 to 9","Through Hole",0.4,,6,15,15,,,,DIP,"UL60950 & ES60601-1",90,,
NCM6S0512EC,NCM6S0512EC,83,1500,"4.5 to 9","Through Hole",0.5,,6,12,12,,,,DIP,"UL60950 & ES60601-1",90,,
NCM6S0505EC,NCM6S0505EC,80,1500,"4.5 to 9","Through Hole",1.2,,6,5,5,,,,DIP,"UL60950 & ES60601-1",20,,
NCM6S0503EC,NCM6S0503EC,75,1300,"4.5 to 9","Through Hole",1.52,,6,3.3,3.3,,,,DIP,"UL60950 & ES60601-1",10,,
NCM6S1215C,NCM6S1215C,87,300,"9 to 36","Through Hole",0.4,,6,15,15,,,,DIP,"UL60950 & ES60601-1",105,,
NCM6S1212C,NCM6S1212C,86,300,"9 to 36","Through Hole",0.5,,6,12,12,,,,DIP,"UL60950 & ES60601-1",70,,
NCM6S1205C,NCM6S1205C,82,315,"9 to 36","Through Hole",1.2,,6,5,5,,,,DIP,"UL60950 & ES60601-1",25,,
NCM6S1203C,NCM6S1203C,79,270,"9 to 36","Through Hole",1.52,,6,3.3,3.3,,,,DIP,"UL60950 & ES60601-1",60,,
NCM6S0515C,NCM6S0515C,83,1500,"4.5 to 9","Through Hole",0.4,,6,15,15,,,,DIP,"UL60950 & ES60601-1",90,,
NCM6S0512C,NCM6S0512C,83,1500,"4.5 to 9","Through Hole",0.5,,6,12,12,,,,DIP,"UL60950 & ES60601-1",90,,
