name,accuracy,additional_images,allow_backorders,attribute_set_code,base_image,case_material,categories,color,configurable_dpm,created_at,data_sheet,daylight_readable,description,digit_height_inch,digit_height_mm,display_product_options_in,display_type,enable_googlecheckout,enable_qty_increments,gift_message_available,humidity,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,location,manage_stock,max_cart_qty,measuring_range,meta_description,meta_keywords,meta_title,min_cart_qty,mounting_type,notify_on_stock_below,number_of_digit,operating_temperature_range,out_of_stock_qty,page_layout,power_supply_current_ma,power_supply_type,power_supply_v,price,product_online,product_status,product_type,product_websites,qty,qty_increments,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series,series_3d_iges,series_3d_pdf,series_3d_solidworks,series_3d_step,series_datasheet,series_description,series_headline,series_primary,series_status,series_type,short_description,sku,small_image,store_view_code,swatch_image,tax_class_name,thumbnail_image,update_rate_samples_sec,updated_at,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,visibility,website_id,weight_g,weight_oz
DMS01-VP-RS12-C,0.10%,dms01-vp-rs12-c_180x102.jpg,0,Digital Panel Meters,dms01-vp-rs12-c_180x102.jpg,Polycarbonate,Murata PS/Products/Digital Panel Meters/Process Monitors,Red,Yes,"6/14/19, 9:55 AM",/data/meters/dms01-vp-rs12-c.pdf,No,<p>Large Format Digital Voltage-Input Process Meter</p>,1,25,Block after Info Column,LED,Yes,0,No,0 to 85%,0,Yes,1,0,Yes,M,1,10000,±48V common-mode ,DMS01-VP-RS12-C Large Format Digital Voltage-Input Process Meter,DMS01-VP-RS12-C,DMS01-VP-RS12-C,1,Panel Mount,1,4.5,0 to 50,0,2 columns with right bar,100,DC Powered,12,0.01,1,Recommended In Production,simple,murataps,999,1,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,DMS01-VP,,,,,,"<p>DMS01-VP-RS12-C is a robust digital panel meter that provides precise measurement and display of voltage process signals on a highly visible red 1” (25mm) tall, 3 ½ to 4 ½ digit seven-segment LED display with adjustable brightness. It provides selectable 0-5VDC or 0-10VDC input range, up to 32 display ranges and choice of user calibration or factory calibration modes. An external 12VDC power source provides power to the meter and an internal DC-DC converter accommodates a ±48V common-mode measurement range with respect to the power supply input, simplifying a wide range of measurement applications and an internal digital filter enhances performance in electrically noisy environments making this digital panel meter is ideal for laboratory instrumentation, factory automation, and any application requiring precision measurement.</p>",LED-Display Large Format Digital Voltage-Input Process Meter,,,,<p>Red LED Display LLarge Format Digital Voltage-Input Process Meter</p>,4978282,dms01-vp-rs12-c_180x102.jpg,,dms01-vp-rs12-c_180x102.jpg,Taxable Goods,dms01-vp-rs12-c_180x102.jpg,3,"6/14/19, 10:05 AM",dms01-vp-rs12-c,1,1,1,1,1,1,1,1,"Catalog, Search",0,174,6.14
DMS01-VP,,,0,Series,,,,,,"6/14/19, 10:10 AM",,,,,,Block after Info Column,,Yes,0,No,,0,No,1,0,Yes,,1,10000,,DMS01-VP ,DMS01-VP,DMS01-VP,1,,1,,,0,2 columns with right bar,,,,0.01,1,,simple,murataps,999,1,,,,,,,,,,,,,Request,Request,Request,Request,/data/meters/dms01-vp-rs12-c.pdf,,,yes,Recommended In Production,Digital Panel Meter,,series_DMS01-VP,,,,Taxable Goods,,,"6/14/19, 10:12 AM",series-dms01-vp,1,1,1,1,1,1,1,1,Catalog,0,,
