sku,name,dimension,dimensions_mm,store_view_code
NTA1209MC-R,NTA1209MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTA1212MC,NTA1212MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTA1212MC-R,NTA1212MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTA1215MC,NTA1215MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTA1215MC-R,NTA1215MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0505MC,NTV0505MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0505MC-R,NTV0505MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0509MC,NTV0509MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0509MC-R,NTV0509MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0512MC,NTV0512MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0512MC-R,NTV0512MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0515MC,NTV0515MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV0515MC-R,NTV0515MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1205MC,NTV1205MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1205MC-R,NTV1205MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1209MC,NTV1209MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1209MC-R,NTV1209MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1212MC,NTV1212MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1212MC-R,NTV1212MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1215MC,NTV1215MC,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTV1215MC-R,NTV1215MC-R,0.600 x 0.441 x 0.260,15.24 x 11.20 x 6.60,power_store_view
NTH0505MC,NTH0505MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0505MC-R,NTH0505MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0509MC,NTH0509MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0509MC-R,NTH0509MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0512MC,NTH0512MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0512MC-R,NTH0512MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0515MC,NTH0515MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH0515MC-R,NTH0515MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1205MC,NTH1205MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1205MC-R,NTH1205MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1209MC,NTH1209MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1209MC-R,NTH1209MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1212MC,NTH1212MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1212MC-R,NTH1212MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1215MC,NTH1215MC,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
NTH1215MC-R,NTH1215MC-R,0.70 x 0.71 x 0.24,17.78 x 17.53 x 6.00,power_store_view
MER1S2405SC,MER1S2405SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S2409SC,MER1S2409SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S2412SC,MER1S2412SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S2415SC,MER1S2415SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S0509SC,MER1S0509SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S0512SC,MER1S0512SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S0515SC,MER1S0515SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1205SC,MER1S1205SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1209SC,MER1S1209SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1212SC,MER1S1212SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1215SC,MER1S1215SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1505SC,MER1S1505SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1509SC,MER1S1509SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1512SC,MER1S1512SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S1515SC,MER1S1515SC,0.744 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MER1S4805SC,MER1S4805SC,0.744 x 0.242 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MER1S4809SC,MER1S4809SC,0.744 x 0.242 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MER1S4812SC,MER1S4812SC,0.744 x 0.242 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MER1S4815SC,MER1S4815SC,0.744 x 0.242 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMV0505SAC,NMV0505SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0505SC,NMV0505SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0509SAC,NMV0509SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0509SC,NMV0509SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0512SAC,NMV0512SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0512SC,NMV0512SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0515SAC,NMV0515SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0515SC,NMV0515SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1205SAC,NMV1205SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1205SC,NMV1205SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1209SAC,NMV1209SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1209SC,NMV1209SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1212SAC,NMV1212SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1212SC,NMV1212SC,0.768 x 0.236 x 0.394,19.5 x 9.8 x 6.8,power_store_view
NMV1215SAC,NMV1215SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1215SC,NMV1215SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1505SAC,NMV1505SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1505SC,NMV1505SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1512SAC,NMV1512SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1512SC,NMV1512SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1515SAC,NMV1515SAC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV1515SC,NMV1515SC,0.768 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMV0505DAC,NMV0505DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0505DC,NMV0505DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0509DAC,NMV0509DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0509DC,NMV0509DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0512DAC,NMV0512DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0512DC,NMV0512DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0515DAC,NMV0515DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV0515DC,NMV0515DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1205DAC,NMV1205DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1205DC,NMV1205DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1209DAC,NMV1209DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1209DC,NMV1209DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1212DAC,NMV1212DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1212DC,NMV1212DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1215DAC,NMV1215DAC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
NMV1215DC,NMV1215DC,0.768 x 0.386 x 0.268,19.5 x 9.8 x 6.8,power_store_view
MEJ2S0303SC,MEJ2S0303SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0305SC,MEJ2S0305SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0503SC,MEJ2S0503SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0505SC,MEJ2S0505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0509SC,MEJ2S0509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0512SC,MEJ2S0512SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S0515SC,MEJ2S0515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1203SC,MEJ2S1203SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1205SC,MEJ2S1205SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1209SC,MEJ2S1209SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1212SC,MEJ2S1212SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1215SC,MEJ2S1215SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1505SC,MEJ2S1505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1509SC,MEJ2S1509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1512SC,MEJ2S1512SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2S1515SC,MEJ2S1515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D0503SC,MEJ2D0503SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D0505SC,MEJ2D0505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D0509SC,MEJ2D0509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D0512SC,MEJ2D0512SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D0515SC,MEJ2D0515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1203SC,MEJ2D1203SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1205SC,MEJ2D1205SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1209SC,MEJ2D1209SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1212SC,MEJ2D1212SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1215SC,MEJ2D1215SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1505SC,MEJ2D1505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1509SC,MEJ2D1509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1512SC,MEJ2D1512SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MEJ2D1515SC,MEJ2D1515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D242005SC,MGJ2D242005SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D241509SC,MGJ2D241509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D241505SC,MGJ2D241505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D152005SC,MGJ2D152005SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D151509SC,MGJ2D151509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D151505SC,MGJ2D151505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D122005SC,MGJ2D122005SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D121509SC,MGJ2D121509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D121505SC,MGJ2D121505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D052005SC,MGJ2D052005SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D051509SC,MGJ2D051509SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D051505SC,MGJ2D051505SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D051515SC,MGJ2D051515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D121515SC,MGJ2D121515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D151515SC,MGJ2D151515SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
MGJ2D152003SC,MGJ2D152003SC,0.768 x 0.386 x 0.492,19.5 x 9.8 x 12.5,power_store_view
NMD050505SC,NMD050505SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMD050512SC,NMD050512SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMD050515SC,NMD050515SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
MMV1S0505SC,MMV1S0505SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
MMV1S0524SC,MMV1S0524SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA0505SC,NMA0505SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA0509SC,NMA0509SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA0512SC,NMA0512SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA0515SC,NMA0515SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1205SC,NMA1205SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1209SC,NMA1209SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1212SC,NMA1212SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1215SC,NMA1215SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1505SC,NMA1505SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1512SC,NMA1512SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMA1515SC,NMA1515SC,0.770 x 0.236 x 0.394,19.5 x 6.0 x 10.0,power_store_view
NMH0505SC,NMH0505SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH0509SC,NMH0509SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH0512SC,NMH0512SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH0515SC,NMH0515SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH1205SC,NMH1205SC,0.770 x 0.295 x 0.400,19.5 x 9.8 x 7.7,power_store_view
NMH1209SC,NMH1209SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH1212SC,NMH1212SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH1215SC,NMH1215SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH2405SC,NMH2405SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH2409SC,NMH2409SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH2412SC,NMH2412SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
NMH2415SC,NMH2415SC,0.770 x 0.295 x 0.400,19.5 x 7.5 x 10.0,power_store_view
MEV1S1209SC,MEV1S1209SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S2409SC,MEV1S2409SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S2412SC,MEV1S2412SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S2415SC,MEV1S2415SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1505SC,MEV1S1505SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1509SC,MEV1S1509SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1512SC,MEV1S1512SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1515SC,MEV1S1515SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S2405SC,MEV1S2405SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1212SC,MEV1S1212SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1215SC,MEV1S1215SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S0505SC,MEV1S0505SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S0509SC,MEV1S0509SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S0512SC,MEV1S0512SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S0515SC,MEV1S0515SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
MEV1S1205SC,MEV1S1205SC,0.774 x 0.242 x 0.400,19.65 x 6.15 x 10.15,power_store_view
NMG0505SC,NMG0505SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG0509SC,NMG0509SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG0512SC,NMG0512SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG0515SC,NMG0515SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1205SC,NMG1205SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1209SC,NMG1209SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1212SC,NMG1212SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1215SC,NMG1215SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1S4805SC,MEV1S4805SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1S4809SC,MEV1S4809SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1S4812SC,MEV1S4812SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1S4815SC,MEV1S4815SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S0505SC,MEV3S0505SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S0509SC,MEV3S0509SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S0512SC,MEV3S0512SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S0515SC,MEV3S0515SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S1205SC,MEV3S1205SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S1209SC,MEV3S1209SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S1212SC,MEV3S1212SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV3S1215SC,MEV3S1215SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG0524SC,NMG0524SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1224SC,NMG1224SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1505SC,NMG1505SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1509SC,NMG1509SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1512SC,NMG1512SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG1515SC,NMG1515SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG2405SC,NMG2405SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG2409SC,NMG2409SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG2412SC,NMG2412SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NMG2415SC,NMG2415SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1D4805SC,MEV1D4805SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1D4809SC,MEV1D4809SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1D4812SC,MEV1D4812SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
MEV1D4815SC,MEV1D4815SC,0.774 x 0.301 x 0.400,19.65 x 7.65 x 10.15,power_store_view
NCS6S1203C,NCS6S1203C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S1205C,NCS6S1205C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S1212C,NCS6S1212C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S1215C,NCS6S1215C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S4803C,NCS6S4803C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S4805C,NCS6S4805C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S4812C,NCS6S4812C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NCS6S4815C,NCS6S4815C,0.787 x 1.260 x 0.394,20 x 32 x 10,power_store_view
NMT0572SC,NMT0572SC,0.858 x 0.295 x 0.437,21.8 x 7.5 x 11.1,power_store_view
NMT1272SC,NMT1272SC,0.858 x 0.295 x 0.437,21.8 x 7.5 x 11.1,power_store_view
NDL0505SC,NDL0505SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL0509SC,NDL0509SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL0512SC,NDL0512SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL0515SC,NDL0515SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL1205SC,NDL1205SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL1209SC,NDL1209SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL1212SC,NDL1212SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL1215SC,NDL1215SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL2405SC,NDL2405SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL2409SC,NDL2409SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL2412SC,NDL2412SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL2415SC,NDL2415SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL4805SC,NDL4805SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL4809SC,NDL4809SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL4812SC,NDL4812SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
NDL4815SC,NDL4815SC,0.858 x 0.362 x 0.431,21.8 x 9.2 x 11.1,power_store_view
MGJ3T05150505MC,MGJ3T05150505MC,0.890 x 0.910 x 0.559,22.61 x 23.11 x 14.19,power_store_view
MGJ3T12150505MC,MGJ3T12150505MC,0.890 x 0.910 x 0.559,22.61 x 23.11 x 14.19,power_store_view
MGJ3T24150505MC,MGJ3T24150505MC,0.890 x 0.910 x 0.559,22.61 x 23.11 x 14.19,power_store_view
MGJ6D12H24MC,MGJ6D12H24MC,0.890 x 1.162 x 0.553,22.61 x 29.51 x 14.05,power_store_view
