sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
76253/55ENC,,,,0.9,,,0.9,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,,Yes,1:01.0,"1 to 1.33",,30,murataps_store_view,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76253/55ENC,76253/55ENC,,,0.9,,,0.9,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,,Yes,1:01.0,"1 to 1.33",,30,,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76611/2C,,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,13,500,,500,,0.8,,Yes,4:01:01,,"4 to 1 to 1",9.92,murataps_store_view,"Value for 'p_tran_turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76611/2C,76611/2C,,,0.8,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,13,500,,500,,0.8,,Yes,4:01:01,,"4 to 1 to 1",9.92,,"Value for 'p_tran_turn_ratio' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76253/35ENC,,,,0.8,,,0.8,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,200,Yes,1:2.236,"1 to 2.236",,25,murataps_store_view,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76253/35ENC,76253/35ENC,,,0.8,,,0.8,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,200,Yes,1:2.236,"1 to 2.236",,25,,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76250ENC,,,,2,,,2,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,2,Yes,1CT:1,"1CT to 1",,50,murataps_store_view,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
76250ENC,76250ENC,,,2,,,2,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,2,Yes,1CT:1,"1CT to 1",,50,,"Value for 'dc_resistance_secondary_max' attribute contains incorrect value, see acceptable values on settings specified for Admin"
