name,additional_images,allow_backorders,attribute_set_code,base_image,categories,created_at,data_sheet,description,design_origin,dimension,dimensions_mm,display_product_options_in,efficiency,enable_googlecheckout,enable_qty_increments,form_factor,gift_message_available,i1out,i2out,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,isolation_vdc,location,manage_stock,max_cart_qty,meta_description,meta_keywords,meta_title,min_cart_qty,notify_on_stock_below,operating_temperature_range,out_of_stock_qty,output_power_total_w,page_layout,pard_typical,price,product_online,product_status,product_type,product_websites,qty,qty_increments,quality,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series,series_description,series_headline,short_description,sku,small_image,store_view_code,swatch_image,tax_class_name,thumbnail_image,total_output_power_w,updated_at,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,v1out_vdc,v1out_vdc_number,v2out_vdc,vin_max,vin_min,vin_range,visibility,website_id
D1U54T-W-800-12-HB3C,180x102_d1u54t-w-800-12.jpg,0,AC/DC Power Supplies,180x102_d1u54t-w-800-12.jpg,Default Category/Power Products/AC-DC Power Supplies/1U Front End/AC-DC,"4/4/19, 3:19 PM",/data/acdcsupplies/d1u54t-w-800-12-hbxc.pdf,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",Murata Power Solutions,2.15 x 9.0 x 1.57,54.5 x 228.6 x 40,Block after Info Column,96,Yes,0,2.15 x 9.0in,No,66.5,1,0,Yes,1,0,Yes,3000,T,1,10000,"D1U54T-W-800-12-HB3C Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply",D1U54T-W-800-12-HB3C,D1U54T-W-800-12-HB3C,1,1,0 to 50,0,800,2 columns with left bar,120,0.01,1,Recommended In Production,simple,"power,murataps",999,1,"CAN/CSA-C22.2 No. 60950-1-07, Amendment 1:2011, Amendment 2:2014 (MOD)
ANSI/UL 60950-1-2014
IEC 60950-1:2005, IEC 60950-1:2005/AMD1:2009, IEC 60950-1:2005/AMD2:2013
EN 60950-1:2006+A11:2009+A1:2010+A12:2011+A2:2013",Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,D1U54,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",54mm Front End AC-DC Power Supply,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",4402023-1,180x102_d1u54t-w-800-12.jpg,,180x102_d1u54t-w-800-12.jpg,Taxable Goods,180x102_d1u54t-w-800-12.jpg,800,"4/5/19, 10:01 AM",d1u54t-w-800-12-hb3c,1,1,1,1,1,1,1,1,12,12,12,264,90,90 to 264,"Catalog, Search",0
D1U54T-W-800-12-HB4C,180x102_d1u54t-w-800-12.jpg,0,AC/DC Power Supplies,180x102_d1u54t-w-800-12.jpg,Default Category/Power Products/AC-DC Power Supplies/1U Front End/AC-DC,"4/5/19, 10:01 AM",/data/acdcsupplies/d1u54t-w-800-12-hbxc.pdf,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",Murata Power Solutions,2.15 x 9.0 x 1.57,54.5 x 228.6 x 40,Block after Info Column,96,Yes,0,2.15 x 9.0in,No,66.5,1,0,Yes,1,0,Yes,3000,T,1,10000,"D1U54T-W-800-12-HB3C Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply",D1U54T-W-800-12-HB3C,D1U54T-W-800-12-HB3C,1,1,0 to 50,0,800,2 columns with left bar,120,0.01,1,Recommended In Production,simple,"power,murataps",999,1,"CAN/CSA-C22.2 No. 60950-1-07, Amendment 1:2011, Amendment 2:2014 (MOD)
ANSI/UL 60950-1-2014
IEC 60950-1:2005, IEC 60950-1:2005/AMD1:2009, IEC 60950-1:2005/AMD2:2013
EN 60950-1:2006+A11:2009+A1:2010+A12:2011+A2:2013",Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,D1U54,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",54mm Front End AC-DC Power Supply,"<p>Titanium efficiency, 54mm wide, 800W, 1U Front End AC-DC Power Supply</p>",4401888-1,180x102_d1u54t-w-800-12.jpg,,180x102_d1u54t-w-800-12.jpg,Taxable Goods,180x102_d1u54t-w-800-12.jpg,800,"4/5/19, 10:07 AM",d1u54t-w-800-12-hb4c,1,1,1,1,1,1,1,1,12,12,12,264,90,90 to 264,"Catalog, Search",0
