additional_images,allow_backorders,attribute_set_code,base_image,categories,created_at,data_sheet,description,design_origin,dimension,dimensions_mm,display_product_options_in,efficiency,enable_googlecheckout,enable_qty_increments,form_factor,gift_message_available,i1out,is_decimal_divided,is_imported,is_in_stock,is_qty_decimal,is_recurring,isolation_vdc,location,manage_stock,max_cart_qty,meta_description,meta_keywords,meta_title,min_cart_qty,mounting_type,name,notify_on_stock_below,operating_temperature_range,out_of_stock_qty,output_power_total_w,package_style,page_layout,price,product_online,product_status,product_type,product_websites,qty,qty_increments,ripple_noise,rohs_6,rohs_exc_11,rohs_exc_34,rohs_exc_6a,rohs_exc_6c,rohs_exc_7a,rohs_exc_7b,rohs_exc_7c1,rohs_exc_7c2,rohs_exc_7c3,rohs_exc_8,series,series_3d_iges,series_3d_pdf,series_3d_solidworks,series_3d_step,series_datasheet,series_description,series_headline,series_primary,series_status,series_type,short_description,sku,small_image,swatch_image,tax_class_name,thumbnail_image,total_output_power_w,updated_at,url_key,use_config_backorders,use_config_enable_qty_inc,use_config_manage_stock,use_config_max_sale_qty,use_config_min_qty,use_config_min_sale_qty,use_config_notify_stock_qty,use_config_qty_increments,v1out_vdc,v1out_vdc_number,vin_nominal,vin_range,visibility,website_id
mybsp00502abf.jpg,0,DC/DC Converters1,mybsp00502abf.jpg,"Default Category/Power Products/DC-DC Converters/Isolated,Murata PS/Products/DC-DC Converters/Isolated","6/10/19, 3:14 PM",/data/power/MYBSP00502ABF.pdf,"<p>The MYBPS00502ABF is an isolated DC-DC converter for PoE with PD controller that be compliant IEEE802.3af, 5V/2A(10W) output, 37V to 57V input voltage range.</p>",Murata,0.583 x 1.024 x 0.244,14.8 x 26 x 6.2,Block after Info Column,80,Yes,0,SMD,No,2,0,Yes,1,0,Yes,2250,F200,1,10000,,,,1,SMD,MYBSP00502ABF,1, -40 to 85,0,10,SMD,2 columns with left bar,0.01,1,Recommended In Production,simple,"power,murataps",999,1,155,Yes,No,No,No,No,Yes,No,Yes,No,No,No,MYBSP,,,,,,"<p>MYBSP series is an isolated DC-DC converter for PoE with PD controller that has got IEEE 802.3xx. It has got small, low profile and surface mount type.</p>",MYBSP series is isolated DC-DC converter for PoE,,,,"<p>The MYBPS00502ABF is an isolated DC-DC converter for PoE with PD controller that be compliant IEEE802.3af, 5V/2A(10W) output, 37V to 57V input voltage range.</p>",MYBSP00502ABF,mybsp00502abf.jpg,mybsp00502abf.jpg,0,mybsp00502abf.jpg,10,"6/12/19, 12:37 PM",mybsp00502abf,1,1,1,1,1,1,1,1,5,5,48,37 to 57,"Catalog, Search",0
,0,Series,,,"6/18/19, 10:11 AM",,,,,,Block after Info Column,,Yes,0,,No,,0,No,1,0,Yes,,,1,10000,MYBSP00502ABF ,MYBSP00502ABF,MYBSP00502ABF,1,,MYBSP00502ABF,1,,0,,,2 columns with right bar,0.01,1,,simple,"power,murataps",999,1,,,,,,,,,,,,,,Request,Request,Request,Request,/data/power/MYBSP00502ABF.pdf,,,yes,Recommended In Production,DC-DC Converter,,series_MYBSP00502ABF,,,Taxable Goods,,,"6/18/19, 10:11 AM",series-mybsp00502abf,1,1,1,1,1,1,1,1,,,,,"Catalog, Search",0
