sku,name,url_key
series_CRV2,CRV2,series-crv2
series_D1U2-D-400-12-HA4C,D1U2-D-400-12-HA2C,series-d1u2-d-400-12-ha2c
series_D1U2-W-400-12-HA4C,D1U2-W-400-12-HA4C,series-d1u2-w-400-12-ha4c
series_D1U3CS-D-1600-12-HC4EC,D1U3CS-D-1600-12-HC4EC,series-d1u3cs-d-1600-12-hc4ec-1
series_D1U3CS-D-850-12-HxxC,D1U3CS-D-850-12-HxxC,series-d1u3cs-d-850-12-hxxc
series_D1U3CS-W-1300F-Hx4EC,D1U3CS-W-1300F-Hx4EC,series-d1u3cs-w-1300f-hx4ec
series_D1U3CS-W-850-12-HxxC,D1U3CS-W-850-12-HxxC,series-d1u3cs-w-850-12-hxxc
series_D1U4CS-D-2100-54-HxxDC,D1U4CS-D-2100-54-HxxDC,series-d1u4cs-d-2100-54-hxxdc
series_D1U4CS-W-2200-12-HxxC,D1U4CS-W-2200-12-HxxC,series-d1u4cs-w-2200-12-hxxc
series_D1U4-W-1200-12-Hx,D1U4-W-1200-12-Hx,series-d1u4-w-1200-12-hx
series_D1U4-W-1600-12-Hx,D1U4-W-1600-12-Hx,series-d1u4-w-1600-12-hx
series_D1U4-W-1600-54-HBxC,D1U4-W-1600-54-HBxC,series-d1u4-w-1600-54-hbxc
series_D1U54-D-1200-12-HxxPC,D1U54-D-1200-12-HxxPC,series-d1u54-d-1200-12-hxxpc
series_D1U54-HD-1200-12-HA4C,D1U54-HD-1200-12-HA4C,series-d1u54-hd-1200-12-ha4c-1
series_D1U54P-W-1200-12-HxxC,D1U54P-W-1200-12-HxxC,series-d1u54p-w-1200-12-hxxc
series_D1U5CS-H-2825-12-HA4C,D1U5CS-H-2825-12-HA4C,series-d1u5cs-h-2825-12-ha4c-1
series_D1U86-D-1600-12-HxxDC,D1U86-D-1600-12-HxxDC,series-d1u86-d-1600-12-hxxdc
series_D1U86G-W-460-12-HxxDC,D1U86G-W-460-12-HxxDC,series-d1u86g-w-460-12-hxxdc
series_D1U86P-W-2200-12-HBxDC ,D1U86P-W-2200-12-HBxDC ,series-d1u86p-w-2200-12-hbxdc
series_D1U-H-2800-52,D1U-H-2800-52,series-d1u-h-2800-52
series_D1U-W-1200-12-Hx,D1U-W-1200-12-Hx,series-d1u-w-1200-12-hx
series_D1U-W-1200-48-Hx,D1U-W-1200-48-Hx,series-d1u-w-1200-48-hx
series_D1U-W-1600-12-Hx,D1U-W-1600-12-Hx,series-d1u-w-1600-12-hx
