sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
DA103C,,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.91,,4.00-7.75,Yes,1:01,"1 to 1",,28,murataps_store_view,
DA103C,DA103C,,,,,,,"0.375 x 0.354 x 0.25","9.52 x 9.00 x 6.35",,0.25,,,,,2000,,0.91,,4.00-7.75,Yes,1:01,"1 to 1",,28,,
76602/1C,,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,72,500,,500,,1.5,,Yes,1:01:01,,"1 to 1 to 1",17.5,murataps_store_view,
76602/1C,76602/1C,,,1.5,,,,"0.50 x 0.35 x 0.25","12.7 x 8.89 x 6.35",,,,0.25,72,500,,500,,1.5,,Yes,1:01:01,,"1 to 1 to 1",17.5,,
78602/16C,,,,0.92,,,,,,,,,0.25,,1000,,1000,,0.92,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/16C,78602/16C,,,0.92,,,,,,,,,0.25,,1000,,1000,,0.92,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/1C,,,,0.66,,,,,,,,,0.25,,1000,,1000,,0.66,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/1C,78602/1C,,,0.66,,,,,,,,,0.25,,1000,,1000,,0.66,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/2C,,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/2C,78602/2C,,,0.34,,,,,,,,,0.25,,1000,,1000,,0.34,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/3C,,,,0.24,,,,,,,,,0.25,,1000,,1000,,0.24,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/3C,78602/3C,,,0.24,,,,,,,,,0.25,,1000,,1000,,0.24,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/4C,,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/4C,78602/4C,,,0.18,,,,,,,,,0.25,,1000,,1000,,0.18,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/8C,,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/8C,78602/8C,,,0.46,,,,,,,,,0.25,,1000,,1000,,0.46,,Yes,1:01:01,,"1 to 1 to 1",,,
78602/9C,,,,1.34,,,,,,,,,0.25,,1000,,1000,,1.34,,Yes,1:01:01,,"1 to 1 to 1",,murataps_store_view,
78602/9C,78602/9C,,,1.34,,,,,,,,,0.25,,1000,,1000,,1.34,,Yes,1:01:01,,"1 to 1 to 1",,,
54050C,,,,0.007,,7,0.5,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,3.8,,,Yes,1:01:50,,,,murataps_store_view,
54050C,54050C,,,0.007,,7,0.5,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,3.8,,,Yes,1:01:50,,,,,
54100C,,,,0.007,,7,3.2,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,14.8,,,Yes,1:01:100,,,,murataps_store_view,
54100C,54100C,,,0.007,,7,3.2,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,14.8,,,Yes,1:01:100,,,,,
54200C,,,,0.007,,7,6.6,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,60,,,Yes,1:01:200,,,,murataps_store_view,
54200C,54200C,,,0.007,,7,6.6,"0.354 x 0.425 x 0.323","9.2 x 10.8 x 8.2",,,0.323,,,,,,60,,,Yes,1:01:200,,,,,
53020C,,,,0.007,,7,0.55,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.08,,,Yes,1:20,,,,murataps_store_view,
53020C,53020C,,,0.007,,7,0.55,"0.283 x 0.327 x 0.213","7.2 x 8.3 x 5.4",,,0.213,,,,,,0.08,,,Yes,1:20,,,,,
